"filename", "language", "Solidity", "comment", "blank", "total"
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/control/LegendsAccessControl.sol", "Solidity", 39, 8, 13, 60
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/control/LegendsLaboratory.sol", "Solidity", 46, 27, 16, 89
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/legend/LegendBreeding.sol", "Solidity", 48, 14, 15, 77
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/legend/LegendComposition.sol", "Solidity", 39, 1, 3, 43
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/legend/LegendIncubation.sol", "Solidity", 0, 0, 1, 1
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/legend/LegendStats.sol", "Solidity", 71, 4, 17, 92
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/legend/LegendsNFT.sol", "Solidity", 211, 10, 46, 267
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/marketplace/LegendsMarketplace.sol", "Solidity", 178, 44, 58, 280
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/marketplace/escrow/LegendsAuctioneer.sol", "Solidity", 36, 71, 13, 120
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/marketplace/escrow/LegendsEscrow.sol", "Solidity", 35, 59, 19, 113
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/marketplace/listings/LegendAuction.sol", "Solidity", 90, 8, 28, 126
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/marketplace/listings/LegendListing.sol", "Solidity", 18, 1, 3, 22
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/marketplace/listings/LegendSale.sol", "Solidity", 40, 5, 16, 61
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/mating/LegendMatchings.sol", "Solidity", 61, 7, 17, 85
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/mating/LegendsMatingboard.sol", "Solidity", 118, 291, 92, 501
"/home/gavin/LegendaryLabs/LegendaryLabs/contracts/token/LegendToken.sol", "Solidity", 27, 2, 8, 37
"Total", "-", 1057, 552, 365, 1974